Tipo;Produto;Ano;Quantidade
de_Vinho leve;Vinho leve;1980;0
de_Vinho licoroso;Vinho licoroso;1980;0
de_Brandy;Brandy;1980;0
de_Destilado;Destilado;1980;0
de_Bagaceira;Bagaceira;1980;0
de_Licor de bagaceira;Licor de bagaceira;1980;0
de_Vinagre;Vinagre;1980;0
de_Borra líquida;Borra líquida;1980;0
de_Borra seca;Borra seca;1980;0
de_Vinho Composto;Vinho Composto;1980;0
de_Pisco;Pisco;1980;0
de_Vinho orgânico;Vinho orgânico;1980;0
de_Espumante orgânico;Espumante orgânico;1980;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1980;0
de_Vinho acidificado ;Vinho acidificado ;1980;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1980;0
de_Outros derivados;Outros derivados;1980;0
VINHO DE MESA;VINHO DE MESA;1981;186129728
vm_Tinto;Tinto;1981;134156175
vm_Branco;Branco;1981;12547739
vm_Rosado;Rosado;1981;39425814
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1981;49348047
vv_Tinto;Tinto;1981;16036963
vv_Branco;Branco;1981;27528276
vv_Rosado;Rosado;1981;5782808
SUCO;SUCO;1981;0
su_Suco de uva simples;Suco de uva integral;1981;0
su_Suco concentrado;Suco de uva concentrado;1981;0
su_Suco de uva adoçado;Suco de uva adoçado;1981;0
su_Suco de uva orgânico;Suco de uva orgânico;1981;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1981;0
DERIVADOS;DERIVADOS;1981;52530037
de_Espumante;Espumante;1981;0
de_Espumante moscatel;Espumante moscatel;1981;0
de_Base espumante;Base espumante;1981;0
de_Base espumante moscatel;Base espumante moscatel;1981;0
